dataset,Proposed,PCA,VAE,LASSO,mRMR,CausalDRIFT,CAFE,Random
Breast Cancer,0.45,0.774,0.774,0.419,0.468,0.386,0.346,0.215
Digits,0.374,0.491,0.491,0.568,0.435,0.33,0.334,0.301
Synthetic-A,0.302,0.456,0.47,0.482,0.376,0.634,0.538,0.215
Synthetic-B,0.299,0.295,0.309,0.55,0.378,0.567,0.477,0.215
Wine,0.801,0.853,0.853,0.844,0.857,0.955,0.91,0.604
